id,country_code,lat,lng,tweet,,,,
59,en,-29.900636,30.9725795,"""@eNCA construction cartel companies involved in building world cup stadiums  are not blacklisted too #FYI""",,,,
60,und,23.523078,45.113681,"""#Sks_ariyad #sex_riyad #sex_kharj #sex_alkharj #sex_alriyadh #Six_children""",,,,
61,ar,21.5857105,39.2541285,"""          #_ https://t.co/C10iADYRDw""",,,,
62,ar,29.000369,29.2730235,"""            .""",,,,
63,en,-28.5126035,28.8157765,"""@skgp28 yoh that's was bad. Yerr""",,,,
64,ar,29.251567,48.0664685,""".                .  https://t.co/IIRLhlmr4P""",,,,
65,ar,31.280563,37.1219335,"""   ---""",,,,
66,ar,21.389833,39.8016865,"""    ""     .   ""   """"""""",,,,
67,en,-26.2761385,27.968098,"""Can the #CompetitionCommission check Discovery Health assemblief? #Thempricesaretohighthenneedtocutthem""",,,,
68,ar,24.7219435,46.685077,"""#__      """,,,,
69,tr,36.8196825,34.660455,"""I'm at Mersin ar in Mersin https://t.co/Gycn5VjuUQ""",,,,
70,ar,18.142727,42.8382155,"""@ElBaradei      """,,,,
71,ar,21.5857105,39.2541285,""" https://t.co/fkWdWXXnX1""",,,,
72,ar,29.302682,47.858859,"""  :      .""",,,,
74,ar,21.5857105,39.2541285,"""   """,,,,
75,ar,25.952302,50.5738735,"""         ~.#_#___#__#_ https://t.co/FGusAHJl0Z""",,,,
76,ar,29.634341,32.347421,"""  https://t.co/amLNws4wgz""",,,,
77,ar,24.7219435,46.685077,"""#__#___    #_  https://t.co/lBFY18mSZP""",,,,
78,en,-26.058708,28.060613,"""i like it for the @LuminanceOnline https://t.co/Yo2XjHk9wK""",,,,
79,ar,28.396245,48.418995,"""#_    """,,,,
80,und,-25.988404,28.103551,"""Wow.  https://t.co/26L2aLzN2M""",,,,
81,en,-29.6164,30.3537815,"""@TheWineSnob101 I have followed you back Greetings from South Africa https://t.co/EcTaZc6uDj""",,,,
82,und,29.000369,29.2730235,""" https://t.co/AzRjeyXbMB""",,,,
83,und,24.7219435,46.685077,"""@abeer_700 """,,,,
84,ar,18.6139645,45.635423,"""            :       """"""""",,,,
85,en,-1.2748635,36.86362,"""Good jams on @CapitalFMKenya You rocking this morning.""",,,,
86,und,21.5857105,39.2541285,"""https://t.co/ZAHsvxV9pe""",,,,
87,en,-34.1216575,18.4890615,"""Do U have an #Earworm we need to feature on #BreakfastMusicShow #70vibefm https://t.co/Eg3WlIlOY3 Website: https://t.co/4si8UiE5Ly""",,,,
88,ar,29.596249,31.570606,"""@radwaahhmed         """,,,,
89,tl,30.866746,31.028321,"""@hrlnamstafa cgrates babee""",,,,
90,en,-26.058708,28.060613,"""Hehehe the state of America https://t.co/DDQEvuCQS3""",,,,
91,en,-1.1013835,37.0204155,"""Pricing is a factor which places one in competition in a business Watch pricing tips on Episode 2 of #BYOBTVShow  https://t.co/s9Js2phuYu""",,,,
92,en,36.834491,36.2083995,"""I'm at Green Pavilion https://t.co/LcY0RwSCh7""",,,,
93,ar,28.3500825,46.0327485,"""  https://t.co/wfQFCj7RcB""",,,,
94,ar,24.7219435,46.685077,"""         """,,,,
95,ar,24.7219435,46.685077,"""@mo_na211    """,,,,
96,ar,21.5857105,39.2541285,"""                "".""""""",,,,
97,en,29.4323775,47.467663,"""Lawd ain't that the truth https://t.co/5rwJMF38k7""",,,,
98,ar,29.596249,31.570606,"""   https://t.co/Uol15dPocz""",,,,
99,ar,21.5857105,39.2541285,""" #_                        #""",,,,
100,en,-26.2761385,27.968098,"""@Radio2000ZA @KiaJohnson1 @LeloMzaca @ThaboModisane #Rosaine #Dineo #JustIce Happy Friyaay Family #PlanetHaaibo""",,,,
101,ar,24.7219435,46.685077,"""    .""",,,,
102,und,18.303816,42.533355,"""https://t.co/J9Rlw5UTvl""",,,,
103,und,21.38543,40.4908105,"""https://t.co/BYuZqw1EdO""",,,,
104,en,-6.8788115,39.2823905,"""I'm at @SlideVisuals HQ in Mikocheni, Dar Es Salaam https://t.co/BrAXLUYmle""",,,,
105,ar,29.2865725,47.8927335,"""#___               https://t.co/m16ReFVvGI""",,,,
106,ar,24.7219435,46.685077,"""     https://t.co/khuMvQbdup""",,,,
107,en,-13.247367,34.2961365,"""Surprised you haven't set yourself on fire with your twiggy limbs rubbing against each other https://t.co/hdivEVymyn""",,,,
108,und,-25.988404,28.103551,"""https://t.co/GMUwNSwhQO""",,,,
109,ar,29.596249,31.570606,"""      https://t.co/sOx8T9CZAG""",,,,
110,ar,23.523078,45.113681,"""#_                     """,,,,
6819,ar,29.000369,29.2730235,"""     .. """,,,,
111,tr,36.727967,33.861119,"""dis fircama dis macunu diye siyah nokta temizleyici siktigimdan beri soktayim bihter ziyagil bile bu kadar aptal degildi""",,,,
112,und,24.7219435,46.685077,"""#_ https://t.co/WReMHZ3gcQ""",,,,
113,ar,28.8419955,48.0860765,"""             """,,,,
114,et,-26.2761385,27.968098,"""Christmas  https://t.co/cofFmpfOaO""",,,,
115,iw,31.342253,34.9684285,"""    ' . '  ""    ? https://t.co/b2Wo0rsRCB""""""",,,,
116,ar,21.389833,39.8016865,"""         .. @   -  https://t.co/7LEeqaDADj""",,,,
117,en,-28.5126035,28.8157765,"""Very fine!!! https://t.co/WK4o4W0u4U""",,,,
118,tl,-4.80739,30.412535,"""Kutoka 89.3Zanzibar milinzi kigoma niko nanyi mpaka mwisho wa kipindi @emanuely_mpeta @babrahasan""",,,,
119,ar,29.596249,31.570606,"""                            """,,,,
120,en,-29.6164,30.3537815,"""@TheWineSnob101 Have a good Friday https://t.co/ZageyYlJtE""",,,,
121,ar,29.596249,31.570606,"""            ..    100      !""",,,,
122,en,23.895049,53.65571,"""The importance of books. #reading https://t.co/IkIhvhD7tA""",,,,
123,und,21.5857105,39.2541285,"""#_ https://t.co/UFUOr30Xnf""",,,,
124,en,-17.866637,31.06421,"""Gamorning AmmartiaI must say thank you so much for voting #WACHUWANT to #8on the @TRACEAfrica_  Charts#ILuvAmmartians """,,,,
125,ar,26.3535915,49.9945455,"""           2017     https://t.co/TgdkHcqfZ7""",,,,
126,en,33.8733655,35.8495145,"""How Marine Le Pen could win the French presidency https://t.co/MEKwjcwBAh""",,,,
127,und,18.529793,42.0686715,"""@AdelAliBinAli https://t.co/ZLVWy2S2UK""",,,,
128,en,33.8733655,35.8495145,"""How Marine Le Pen could win the French presidency https://t.co/7aldSbUh2O""",,,,
129,en,-27.9575765,26.8094435,"""If You Woke Up Without A dream Today, Hamb' Uyolala!!!""",,,,
130,ar,29.3422145,47.760669,"""  """,,,,
131,en,-0.067814,37.905184,"""We are ready to set you into the weekend mood what songs would you like Dj Henrique to play for you  #HangOutFriday""",,,,
132,ar,29.224902,47.97452,"""  https://t.co/D3oJKyFM5k""",,,,
133,en,-26.2761385,27.968098,""" I love this https://t.co/SSiBzk6Hby""",,,,
134,en,28.396245,48.418995,"""Check out the highlight of  our recent event PROFIT  SHARING SE/GE EXECUTIVE NIGHT at  MOA  ARENA PHILIPPINES. https://t.co/IfZGfaDXvx""",,,,
135,tl,-26.519759,29.9968885,"""Kuyabheda kuhlala Msukaligwa ugesi uthathwa 6-8 am nango 17-19:30 isikhathi ezibalulekile kuthi esisebenzayo kodwa https://t.co/5iXvG38xE9""",,,,
136,ar,33.8733655,35.8495145,"""   ...https://t.co/dBKD5nBGZe# #""",,,,
137,ar,26.345051,43.9595905,"""          .""""""""",,,,
138,und,21.38543,40.4908105,"""https://t.co/JsFaW8yyAy""",,,,
139,und,30.8326565,29.733514,"""Fifty shades of grey       Fifty shades darker     Fifty shades freed       .""",,,,
140,iw,31.342253,34.9684285,"""@WallaNews @JacobEilon    ,      """,,,,
141,ar,19.965379,41.453094,"""         #_ https://t.co/Q5VpOkT4cT""",,,,
142,ar,21.5857105,39.2541285,"""           .""",,,,
143,ar,24.7219435,46.685077,"""!    https://t.co/ksU5GJQ8p7""",,,,
144,ar,28.8419955,48.0860765,"""   """,,,,
145,ar,29.596249,31.570606,"""        """,,,,
146,und,-33.980289,18.676047,""" https://t.co/BA5eKsDnKv""",,,,
183,und,21.5857105,39.2541285,"""https://t.co/i19HwCBh34""",,,,
147,en,24.462089,39.6540485,"""@silanigans this is paan """,,,,
148,ar,23.523078,45.113681,"""              !# # # # https://t.co/fbxeTUjptt""",,,,
149,ar,29.347893,47.673682,"""          ..             ..""",,,,
150,ar,31.342382,31.7678535,"""   .""",,,,
151,en,-25.7526055,28.1840665,"""@TheGautrain please send us updated times you know you have technical issues but don't send out communication""",,,,
152,ar,24.462089,39.6540485,"""@ksa_shb                     """,,,,
153,en,9.0427605,8.6716155,"""@timskilz01 kindly follow back sir. Thanks.""",,,,
154,en,-31.8908885,26.8670945,"""It's my boys birthday day today https://t.co/8MtSgyI8iI""",,,,
155,tr,37.4587,35.5687985,"""kr gerek her vaktimize  #kendiobjektifimden https://t.co/nX77k15rDK""",,,,
156,und,21.5857105,39.2541285,"""https://t.co/FMRNOJYR7x""",,,,
157,tr,37.038192,30.8388225,"""@KucukkayaIsmail antalya larada otelde fox katli gsteriyor bilgilerinize""",,,,
158,en,33.50961,-7.5855165,"""TRAVELS WORLD / ARABIAN WORLD TOURISM Grand SAUDI ARABIAN / WORLD TOURISM / TRAVELER ARABIAN WORLD TOURISM / EXPE https://t.co/XR4IG1OUjD""",,,,
159,ja,29.3811865,47.9858085,"""@Milan_965 oow      https://t.co/laDgjYpCJR""",,,,
160,ar,29.000369,29.2730235,"""      !! """,,,,
161,en,-26.0197195,27.9574575,"""Friday let's get it  https://t.co/eyXNuoRaz5""",,,,
162,en,-26.1729605,28.136677,"""#Friday - Yes!!! I wish you a happy weekend. #motivation https://t.co/8WfDiUdgwE""",,,,
163,ar,21.38543,40.4908105,"""    https://t.co/UGVFMcLBdz""",,,,
164,en,26.3535915,49.9945455,"""At FitnessFirst  https://t.co/W7BKjMTjBr""",,,,
165,in,-2.36521,39.571241,"""#ZingaFridayEditionNaskiza nikiwa garini Malindi 90.10Fm inasengenywa hadi kieleweke@KbcRadioTaifa @bonniemusambi @cynthy_anyango""",,,,
166,en,9.912799,8.8863195,"""temperature down 12C -&gt; 11Chumidity up 47% -&gt; 54%""",,,,
167,it,-28.5126035,28.8157765,"""@skgp28 Periocoronitis??""",,,,
168,en,-28.4794855,24.669943,"""Dark clouds + strong wind""",,,,
169,en,-1.16659,36.80341,"""Get help. https://t.co/tEkdddNaKd""",,,,
170,en,-17.2574565,29.500786,"""This song changed my life. https://t.co/jlAlMK1gGT""",,,,
171,ar,25.458642,49.6276765,"""     ..""",,,,
172,en,35.135671,33.437825,"""Dear @alexaiono aka KING, have the best birthday ever and remember that you have changed lives with your music ; for example my life """,,,,
173,und,-26.058708,28.060613,"""@treygee @duduzondo https://t.co/zVVePDZel9""",,,,
174,und,24.7219435,46.685077,"""https://t.co/spCyXPTD6j""",,,,
175,en,-1.2748635,36.86362,"""#dryspell,If we arent thankful2 God4 drain we jst rec'd in Utawala Machakos county,den we surely r an ungrateful pple even if Jesus comes""",,,,
176,en,4.929526,-1.756256,"""@kakaliscious I can carry you """,,,,
177,ar,17.4830095,47.108287,"""      ..""",,,,
178,und,-26.2761385,27.968098,"""Yaaaaaaaas https://t.co/DBXVIJc7WB""",,,,
179,ar,27.5083335,41.68754,"""@iiS3dy """,,,,
180,und,37.0817305,23.5035255,"""@JaredLeto """,,,,
181,en,-33.907562,25.555316,"""Smash on Monday they tell you're they tested and they pregnant on Tuesday ??? https://t.co/U4eYz9r7xH""",,,,
182,tl,-26.0197195,27.9574575,"""Yehova ndi Mulisa wanga, athi nga shayi tshithu, u nndadza mafuloni avhudi, unyisa madivhini a vhuawelo, u netulusa muya wanga.""",,,,
184,en,26.569495,50.055943,""" #KYGO &amp; Selena Gomez - It Ain't Me@selenagomez @kygomusic #itaintme #selenagomez https://t.co/kuygIcw63o""",,,,
185,en,35.271078,25.1230585,"""New Post on #Blog : Special Offers &amp; Packages by #Galaxy #Hotel Iraklio Crete https://t.co/AHFOycEANs https://t.co/Sx3JZQpNur""",,,,
186,und,24.105024,38.1911485,"""https://t.co/fl9jzdBX6L""",,,,
187,ar,26.307814,50.201761,"""             """,,,,
188,en,6.3349545,5.641288,"""I tried editing too  couldn't get it better https://t.co/cMqfD3Lgjn""",,,,
189,ar,26.2464905,36.459303,"""                  .                        """,,,,
190,en,-26.2761385,27.968098,"""Good thing I'm always on my phone. Now they're talking about two people who got hit by a car""",,,,
191,ar,21.5857105,39.2541285,"""                 "".""""""",,,,
192,ar,25.952302,50.5738735,"""@IsraelNewsNow @TimesofIsrael               .     .""",,,,
193,en,-25.7526055,28.1840665,"""One life...#hustle #success #commitment #life #theoglr power_africa @ Pretoria, South Africa https://t.co/cJ8KgVMDaK""",,,,
194,ar,24.7219435,46.685077,"""  #__          #_ https://t.co/8TDdVOTarM""",,,,
195,en,-29.6164,30.3537815,"""haha this is great. #CyanideAndHappiness #timmy #drinking #problem https://t.co/OZS9pUboAo""",,,,
196,ar,32.3965425,53.6749745,"""... @    https://t.co/sLwteUp5xc""",,,,
197,ar,24.7219435,46.685077,"""  https://t.co/wpKX3IDXdc""",,,,
198,iw,31.342253,34.9684285,"""@WallaNews @JacobEilon    ,      """,,,,
199,in,-6.8788115,39.2823905,"""@rjkadutu @ManenoIzaak @NgekeCharles4 endelea kutafuta kuandika kuliko KUFIKIRI nabhei usijue kuandika kabsaa but THINK""",,,,
200,ar,24.7219435,46.685077,"""@YASSER_Q_Y20 @abdulrahman  """,,,,
201,en,-29.8193145,30.6453195,"""@Benji_Sports with your first Sports Update.. on the #djsbubreakfast""",,,,
202,en,5.6231985,-0.1842935,"""Just posted a photo @ Accra, Ghana https://t.co/OIiv0o8j6F""",,,,
203,fi,-33.980289,18.676047,"""Suvuma mzakes https://t.co/9EhI64vu0I""",,,,
204,in,21.389833,39.8016865,"""Salam jumaat.  Alhamdulillah. @ Masjid Al Haram Makkah https://t.co/S225oMRqJB""",,,,
205,en,-1.2748635,36.86362,"""NO QUITTING I WILL FIGHT UNTIL THE END https://t.co/c2hyHEHKox""",,,,
206,und,21.5857105,39.2541285,"""https://t.co/FbaXqXDbxB""",,,,
207,en,-34.1216575,18.4890615,"""Concern re:Moz = how will they recover? Moz attracts more FDI than SA (much needed);what will happen to dev prospec https://t.co/yIG8UeHAif""",,,,
208,ar,24.7219435,46.685077,"""#___         ...     ...  #_""",,,,
209,en,29.000369,29.2730235,"""6:33am: sunrisesunset will be at 5:45pm""",,,,
210,und,-28.4794855,24.669943,"""https://t.co/NiAw8n6CRB""",,,,
211,en,-34.1216575,18.4890615,"""Good morning beautiful people!!! """,,,,
212,ar,29.000369,29.2730235,"""@gnwbe2014 @shmoo5hy   .  """,,,,
213,ar,26.728098,50.040782,"""#_ #__               https://t.co/Mxh5Z6rSOD""",,,,
214,und,24.0045315,47.0458795,"""#_# https://t.co/vbLhDASHPk""",,,,
215,ar,23.895049,53.65571,"""             "".""""""",,,,
216,ar,17.4830095,47.108287,"""         """,,,,
217,ar,24.462089,39.6540485,"""@ksa_shb          """,,,,
218,en,-26.2761385,27.968098,"""Why ole ditshele yana mare Tumi .  you were with your bestie"" kanjani? https://t.co/r4e7lOAmP3""""""",,,,
219,en,-26.0197195,27.9574575,"""Bra  mxm https://t.co/WSKO19e4je""",,,,
220,ar,25.324668,51.5391425,"""    https://t.co/UNXr387xi5""",,,,
221,en,9.0427605,8.6716155,"""Yes o! Finally we don enta weekend on #UnaWakeUpShow #KpamkpamJimjimFriday w/@bigmoNaija x @iamKeneri Hope you don prepare for am? TGNF!!!""",,,,
222,ar,33.224875,43.6853045,"""             https://t.co/xlHgidvykG""",,,,
223,en,-28.5126035,28.8157765,"""@Tlouu_Kganyago lol im up""",,,,
224,en,-1.2748635,36.86362,"""The existing social and educational services are insufficient to meet the high demand and growing population in Mukuru #OneCityOnePeople""",,,,
225,ar,24.462089,39.6540485,"""         https://t.co/mfD86jRmoG""",,,,
226,en,-26.058708,28.060613,"""Dude is stupid https://t.co/GxWoCtZofS""",,,,
227,ar,29.6718355,27.52443,"""   https://t.co/TUIT8gJOtU""",,,,
228,ar,29.596249,31.570606,"""# | | #:     3 "" https://t.co/c0wCTSSWWD""""""",,,,
229,und,26.345051,43.9595905,"""https://t.co/hFOYfD6NMv""",,,,
230,tr,23.895049,53.65571,"""I'm at Saadiyat Island in Abu Dhabi https://t.co/SAyfYfflIY""",,,,
231,ar,30.8326565,29.733514,"""                       ..""",,,,
232,en,-34.1216575,18.4890615,"""When I say I love you, its not because I need to hear you say it back. I just wanna make sure you know; in case my actions fall short..""",,,,
233,en,-33.907562,25.555316,"""hol' up  https://t.co/39XErBAE1R""",,,,
234,en,-31.438098,19.77702,"""Opposition parties not much to say about #SONAReply by President. They still recovering from #BankCorruption? #AMLive @GwalaBnews""",,,,
235,en,23.059934,50.161818,"""Just posted a video @ Tanajib Plant https://t.co/CRvwrpvBVq""",,,,
236,ar,27.5083335,41.68754,"""                    .""",,,,
237,en,29.596249,31.570606,"""Cairo: 6:32am: sunrisesunset will be at 5:45pm""",,,,
238,ar,21.5857105,39.2541285,"""              .""",,,,
239,ar,25.458642,49.6276765,"""     """,,,,
240,en,26.832665,30.7950835,"""We are the best #Mobile Game Development company. We have highly skilled 2D &amp; 3D Game developers. https://t.co/Nh8ERgCGHT""",,,,
241,und,-1.2748635,36.86362,"""@HouseJudiciary SALUTE:HOUSE JUDICIARY.DANGER TO UNITED STATES OF AMERICA:1.AL QAEDA .2.MUNGIKI TERRORISTS.3.L https://t.co/SuPJOykzTo""",,,,
242,und,29.288416,48.075041,"""https://t.co/p99qSmuO3h""",,,,
243,ar,29.000369,29.2730235,"""@Mohamed_Fayed_      10 Dancer in the Dark        5   """,,,,
244,en,-1.2748635,36.86362,"""Sure it is!!  @Team_CORD https://t.co/upJuS3tZgD""",,,,
245,en,14.4996775,-14.4382305,"""MORT  https://t.co/2t7VOQOVDS""",,,,
246,en,-26.2761385,27.968098,"""#FoodieFridaysWith any #event,it's about the small details.Want more details see our https://t.co/3qIC2ZfNoO or In https://t.co/A3kBBw1r8J""",,,,
247,ar,24.2599225,45.117129,"""-                     ..""",,,,
248,en,-34.1216575,18.4890615,"""The Price is Alt-Right! #PresidentialTVShows @BrettFishA @midnight""",,,,
249,en,-28.874103,31.904084,"""Morning jogs are the best way to a day...""",,,,
250,en,-25.988404,28.103551,"""Guys. No.  https://t.co/hMVauU2gcl""",,,,
251,ar,21.389833,39.8016865,"""      """,,,,
252,ar,24.7219435,46.685077,"""          ..#_ #__""",,,,
253,en,-26.085862,28.24308,"""Sunday https://t.co/bT611g1Ia8""",,,,
254,en,-26.2761385,27.968098,"""I couldn't manage one weight squat rn """,,,,
255,en,-34.1351495,18.8479085,"""Excited to be starting my @lead_sa practical course today in Cape Town. #CapeTown #law #lawyer""",,,,
256,fa,32.3965425,53.6749745,"""    (@   in Tehran) https://t.co/irG8fIGKYG""",,,,
257,ar,21.5857105,39.2541285,"""@IQaisiyeh           """,,,,
258,en,-1.3026795,36.884791,"""the air today is unusually fresh.. thank God for the rain.""",,,,
259,en,29.596249,31.570606,"""Good morning #Cairo! Sun will rise in 30 minutes (local time 06:32) #Sunrise #Photo #Photography [17.02.2017]""",,,,
260,in,21.389833,39.8016865,"""Alhamdulillah Subhanallah @ Masjid Al Haram Makkah https://t.co/R94qZehvzP""",,,,
261,en,-1.2748635,36.86362,"""LAPTOP REPAIR, Screen, Battery, Keyboard &amp; Charger Replacement at discounted prices. Call 0712787625. https://t.co/bxL8pGWvMp""",,,,
262,und,25.458642,49.6276765,"""https://t.co/LEzNGFKSE4""",,,,
263,ar,25.952302,50.5738735,"""  """,,,,
264,en,-26.2761385,27.968098,"""someone make a @Msaki_ZA at @JazzOrbit show happen. thank you please! """,,,,
265,en,-6.8788115,39.2823905,"""[ BEACH PLOT FOR SALE ]WITH CLEAN TITLE DEED #PLOTSIZE SQM FT 2000#LOCATION MBEZI BEACH RAIN BOW #PRICE $ USD 350,0 https://t.co/9jblhOMp4Y""",,,,
266,und,-26.2761385,27.968098,"""#GGMU #Mufc https://t.co/HplSfBboIy""",,,,
267,und,-28.4794855,24.669943,"""https://t.co/yRHpLwyKWB""",,,,
268,und,26.3535915,49.9945455,"""https://t.co/K1Q8pLGIIT""",,,,
269,en,-34.011939,23.423063,"""These late summer fieldwork sunrises... @ The Dunes In Plettenberg Bay https://t.co/lm1k8PG0wm""",,,,
270,ar,36.207235,36.163269,"""      :        ""       .. https://t.co/GLMYF1Duvo""""""",,,,
271,und,-33.907562,25.555316,"""https://t.co/yW58mAuzN0""",,,,
272,ar,31.342382,31.7678535,"""   ...""",,,,
273,en,-33.8697605,25.560511,"""Plastic 100C""",,,,
274,ar,25.324668,51.5391425,"""6       (      17/2/2017)    12:58:7  https://t.co/2UWjl948Ny""",,,,
275,ar,21.5857105,39.2541285,"""             """,,,,
276,en,-0.067814,37.905184,"""we listen  in to all conversations wit the Russian Amb.Gues who dint know?the Nat security adv.I knew that!""Colbert..#the presidents men""""""",,,,
277,ar,26.3535915,49.9945455,"""     :- -  -       :  """,,,,
278,und,21.5857105,39.2541285,"""https://t.co/qeJcKN8wEj""",,,,
279,und,-29.6164,30.3537815,"""@RannveigInga @isisceja @annaaizic @131christine131  @Geisha_Bajool @place_jhona https://t.co/AppUCoO3Rk""",,,,
280,en,-34.033598,18.3513505,"""Prince on Spotify.""",,,,
281,en,-33.907562,25.555316,"""I ain't sorry,nigga naaahh  https://t.co/YF3trYhjhw""",,,,
282,en,24.7219435,46.685077,"""Very nice song https://t.co/OwmRufz3Ux""",,,,
283,en,-26.1427115,27.8742925,"""Day in bed...  well deserved""",,,,
284,en,9.0427605,8.6716155,"""#Np @velmodouble #NareEkele on #UnaWakeUpShow #KpamkpamJimjimFriday w/@bigmoNaija x @iamKeneri""",,,,
285,ar,30.8326565,29.733514,"""        .""",,,,
286,und,21.5857105,39.2541285,""" https://t.co/LxEQl94Z3G""",,,,
287,en,-1.2748635,36.86362,"""How are some people even alive  https://t.co/qq4JkJMiEH""",,,,
