"","V1","title","address","city","phone","fax","website","email"
"121","Kairaba Avenue, Fajara, P.M.B. 19, Banjul, Gambia","CITYBanjul","PHONE(220) 439- 2856","FAX(220) 439-2475","WEBSITEhttp://banjul.usembassy.gov","EMAIL-","American Embassy in Accra, Ghana","U.S. Embassy in Accra, Ghana "
"129","No. 24, Fourth Circular Rd., Cantonments, P.O. Box GP 2288 , Accra, Ghana","CITYAccra","PHONE(233) 030-2741-150","FAX(233) 030-2741-692 / 3","WEBSITEhttp://ghana.usembassy.gov","EMAILpressaccra@state.gov","American Embassy in Conakry, Guinea","Embassy of United States in Conakry, Guinea "
"137","P.O. Box 603, Transversale No. 2, Centre Administratif de Koloma, Commune de Ratoma, Conakry, Guinea","CITYConakry","PHONE+224-65-10-40-00","FAX+224-65-10-42-97","WEBSITEhttp://conakry.usembassy.gov","EMAILconconakry@state.gov","American Embassy in Nairobi, Kenya","U.S. Embassy in Nairobi, Kenya "
"145","P. O. Box 606 Village Market, 00621 Nairobi, Kenya","CITYNairobi","PHONE254 20 363-6000","FAX254 20 363-6157","WEBSITEhttp://nairobi.usembassy.gov","EMAILircnairobi@state.gov","American Embassy in Maseru, Lesotho","Embassy of teh United States in Maseru, Lesotho "
"153","254 Kingsway Road Maseru, Lesotho , P. O. Box 333 100","CITYMaseru","PHONE+266 22 312 666","FAX+266 22 310 116","WEBSITEhttp://maseru.usembassy.gov","EMAILinfomaseru@state.gov","American Embassy in Monrovia, Liberia","Embassy of United States in Monrovia, Liberia "
"161","502 Benson Street, Monrovia, Liberia","CITYMonrovia","PHONE(+231) 77-677-7000","FAX(+231) 77-677-7370","WEBSITEhttp://monrovia.usembassy.gov","EMAIL-","American Embassy in Tripoli, Libya","American Embassy in Tripoli, Libya "
"169","Sidi Slim Area/ Walie Al-Ahed Road, Tripoli, Libya","CITYTripoli","PHONE+218-(0)91-220-3239","WEBSITEhttp://libya.usembassy.gov","EMAILTripoliPAO@state.gov","American Embassy in Antananarivo, Madagascar","Embassy of United States in Antananarivo, Madagascar ","Lot 207 A - Andranoro - Antehiroka, 105 Antananarivo - Madagascar"
"177","CITYAntananarivo","PHONE(+261) 20 23 480 00","FAX(+261) 20 23 480 35 / (+261) 33 44 328 17","WEBSITEhttp://www.antananarivo.usembassy.gov","EMAILconsantan@state.gov","American Embassy in Lilongwe, Malawi","U.S. Embassy in Lilongwe, Malawi ","P.O Box 30016, 16 Jomo Kenyatta Road, Lilongwe 3, Malawi"
"185","CITYLilongwe","PHONE(265) 1 773 166","FAX(265) 1 770 471","WEBSITEhttp://lilongwe.usembassy.gov","EMAILconsularlilong@state.gov","American Embassy in Bamako, Mali","U.S. Embassy in Bamako, Mali ","ACI 2000, Rue 243, Porte 297, Bamako, Mali"
"193","CITYBamako","PHONE+223 20 70 23 00","FAX+223 20 70 24 79","WEBSITEhttp://mali.usembassy.gov","EMAIL-","American Embassy in Nouakchott, Mauritania","U.S. Embassy in Nouakchott, Mauritania ","288, rue 42-100, (rue Abdallaye), Nouakcott, Mauritania"
"201","CITYNouakchott","PHONE222-525-2660 or 2663","FAX222-525-1592","WEBSITEhttp://mauritania.usembassy.gov","EMAILPASNouakchott@state.gov / Mohamed-LemineEM@state.gov","American Embassy in Port Louis, Mauritius","U.S. Embassy in Port Louis, Mauritius ","4th Floor, Rogers House, John Kennedy Avenue P.O. Box 544 , Port Louis, Mauritius"
"209","CITYPort Louis","PHONE(230) 202-4400","FAX(230) 208-9534","WEBSITEhttp://mauritius.usembassy.gov","EMAILusembass@intnet.mu","American Embassy in Rabat, Morocco","U.S. Embassy in Rabat, Morocco ","2 Avenue de Mohamed El Fassi, Rabat, Morocco"
"217","CITYRabat","PHONE(212)(537)-76-22-65","FAX(212)(537)-76-56-61","WEBSITEhttp://rabat.usembassy.gov","EMAIL-","American Consulate in Casablanca, Morocco","American Consulate in Casablanca, Morocco ","8, Boulevard Moulay Youssef, Casablanca 20000, Morocco"
"225","CITYCasablanca","PHONE(212) 522-26-45-50","FAX(212) 522-20-80-97","WEBSITEhttp://morocco.usembassy.gov/casablanca.html","EMAIL-","American Embassy in Maputo, Mozambique","American Embassy in Maputo, Mozambique ","Avenida Kenneth Kaunda, 193, Caixa Postal 783, Maputo, Mozambique"
"233","CITYMaputo","PHONE(258) 21-49 27 97","FAX(258) 21-49 01 14","WEBSITEhttp://maputo.usembassy.gov","EMAILmaputoirc@state.gov","American Embassy in Niamey, Niger","Embassy of the United States in Niamey, Niger ","Public Affairs Section (PAS) Niamey, BP 11201, Niamey, Niger"
"241","CITYNiamey","PHONE(227) 20-73-31-69 or (227) 20-72-39-41","FAX(227) 20-73-55-60","WEBSITEhttp://niamey.usembassy.gov","EMAILNiameyPASN@state.gov","American Embassy in Abuja, Nigeria","American Embassy in Abuja, Nigeria ","Plot 1075 Diplomatic Drive, Central District Area, Abuja, Nigeria"
"249","CITYAbuja","PHONE(234)-9-461-4000","FAX(234)-9-461-4036","WEBSITEhttp://abuja.usembassy.gov","EMAIL-","American Embassy in Kinshasa, Republic of Congo","Embassy of United States in Kinshasa, Congo (Democratic Republic) ","310, Avenue des Aviateurs, Kinshasa, Gombe, Democratic Republic of Congo"
"257","CITYKinshasa","PHONE081 556-0151","FAX(243) 81 55 60 175","WEBSITEhttp://kinshasa.usembassy.gov","EMAILUSEmbassyKinshasa@state.gov","American Embassy in Dakar, Senegal","U.S. Embassy in Dakar, Senegal ","Route des Almadies, Dakar, Senegal"
"265","CITYDakar","PHONE(221) 33-879-4000","WEBSITEhttp://dakar.usembassy.gov","EMAILDakarACS@state.gov","American Embassy in Freetown, Sierra Leone","Embassy of the United States in Sierra Leone ","Southridge - Hill Station, Freetown, Sierra Leone","CITYFreetown"
"273","PHONE+232 76 515 000","WEBSITEhttp://freetown.usembassy.gov","EMAILconsularfreetown@state.gov","American Embassy in Pretoria, South Africa","American Embassy in Pretoria, South Africa ","PO Box 9536, 0001, 877 Pretorius St. Arcadia, Pretoria, South Africa","CITYPretoria","PHONE(27-12) 431-4000"
"281","FAX(27-12) 342-2299","WEBSITEhttp://southafrica.usembassy.gov","EMAIL-","American Consulate in Cape Town, South Africa","US Consulate in Cape Town, South Africa ","2 Reddam Ave, Westlake 7945","CITYCape Town","PHONE+27 (21) 702-7300"
"289","FAX+27 (21) 702-7493","WEBSITEhttp://southafrica.usembassy.gov/consulate_capetown.html","EMAIL-","American Consulate in Durban, South Africa","US Consulate in Durban, South Africa ","303 Dr. Pixley KaSeme Street, 31st Floor, Old Mutual Center , Durban 4001","CITYDurban","PHONE+27 (31) 305-7600"
"297","FAX+27 (31) 305-7691","WEBSITEhttp://southafrica.usembassy.gov/consulate_durban.html","EMAIL-","American Consulate in Johannesburg, South Africa","US Consulate in Johannesburg, South Africa ","P.O. Box 787197, Sandton, 2146, 1 Sandton Drive, Sandhurst (opposite Sandton City Mall)","CITYJohannesburg","PHONE+27 (11) 290-3000"
"305","FAX+27 (11) 884-0396","WEBSITEhttp://southafrica.usembassy.gov/consulate_johannesburg.html","EMAIL-","American Embassy in Khartoum, Sudan","Embassy of the United States in Khartoum, Sudan ","P.O. Box 699, Kilo 10, Soba, Khartoum, Sudan","CITYKhartoum","PHONE(187)-0-(22000)"
"313","WEBSITEhttp://sudan.usembassy.gov","EMAIL-","American Embassy in Mbabane, Swaziland","U.S. Embassy in Mbabane, Swaziland ","7th Floor, Central Bank Building, Mahlokohla Street , P.O. Box 199 , Mbabane, Swaziland","CITYMbabane","PHONE(268) 404-6441","FAX(268) 404-5959"
"321","WEBSITEhttp://swaziland.usembassy.gov","EMAIL-","American Embassy in Dar Es Salaam, Tanzania","U.S. Embassy in Dar es Salaam, Tanzania ","686 Old Bagamoyo Road, Msasani, P.O. Box 9123, Dar es Salaam","CITYDar es Salaam","PHONE255-22-229-4000","FAX255-22-229-4970 or 4971"
"329","WEBSITEhttp://tanzania.usembassy.gov","EMAIL-","American Embassy in Zanzibar, Tanzania","Unite States Virtual Presence Post in Zanzibar, Tanzania ","8 Mazizini Road, Adjacent to Omani Consulate Residence, P.O. Box 4, Zanzibar","CITYZanzibar","PHONE(255-24) 223 1976","FAX(255-24) 223 1976"
"337","WEBSITEhttp://zanzibar-tanzania.usvpp.gov","EMAIL-","American Embassy in Lome, Togo","U.S. Embassy in Lome, Togo ","Boulevard Eyadema, B.P. 852, Lomé","CITYLome","PHONE(+228) 2261 5470","FAX(+228) 2261 5501"
"345","WEBSITEhttp://lome.usembassy.gov","EMAIL-","American Embassy in Tunis, Tunisia","American Embassy in Tunis, Tunisia ","Les Berges du Lac, 1053 Tunis, Tunisia","CITYTunis","PHONE+216 71 107 000","FAX+216 71 963 263"
"353","WEBSITEhttp://tunisia.usembassy.gov","EMAILtuniswebsitecontact@state.gov","American Embassy in Lusaka, Zambia","American Embassy in Lusaka, Zambia ","Eastern end of Kabulonga Road Ibex Hill , P.O.Box 31617, Lusaka, Zambia","CITYLusaka","PHONE(+260) 211 357 000","WEBSITEhttp://zambia.usembassy.gov"
"361","EMAILacslusaka@state.gov","American Embassy in Harare, Zimbabwe","Embassy of the United States in Harare, Zimbabwe ","172 Herbert Chitepo Avenue Harare, Zimbabwe","CITYHarare","PHONE263-4-250593/4","FAX263- 4-796488","WEBSITEhttp://harare.usembassy.gov"
